Items||||||||||||||||||
name|description|fixed|useCases|roomLimB|roomLimR|newItemAlone|newItemcomI|newItemComC|combineWithI|combineWithC|useAloneGood|useComIGood|useComCGood|disappears|eventAlone|eventAloneTo|eventComb|eventCombTo
ratpoison|Half a bag of extremely poisonous substances! Ingredients include arsenic, barium, and thallium.|false|2|false|||poisoncoffee||coffee|||You combine the coffee and rat poison. This doesn’t feel like the healthiest drink.||true||||
journal|They call it a hospital, but I know better. The pills and the needles keep coming, as does the cold and boring food. There is no rest from the screams of others but at least it keeps me company. Sometimes in my dreams, I hear whispers telling me there's light at the end of the tunnel. Is that where my friends have gone? The doctors and nurses promise they will fix me if I cooperate. HAHAHA! I will show them, I don't need fixing....|true|3|false|||||||****THIS IS THE DESCRIPTION OF WHAT IS WRITTEN IN HER JOURNAL****|||false||||
sedative|An injectable drug to calm down patients.|false|2|false||||||annabelle|You inject yourself with the sedatives. You have always wondered what it feels like to be drugged. As you slowly lose your grip on consciousness, a doctor comes towards you and picks you up, and you finally slip into oblivion. When you come to a few hours later, you are back in your room, strapped to your bed. There is no way to get out now.||Annabelle’s screams slowly get quieter. When they finally stop, you sigh with relief, she won’t be causing you problems any time soon.|true|alive|die|annabelleAwake|annabelleAsleep
crowbar|A metal bar with a single curve end and flattened points with a small fissure for removing nails on the other.|false|2|true|l3Hallway1||||||You use the crowbar to pry open the closet door. You can now go into the closet.|||true|||closetLocked|closetUnlocked
magicmushrooms|These mushrooms contain hallucinogens such as psilocybin and psilocin and an extra special ingredient to spice things up.|false|2|true|iceRoom||||||You pop the mushrooms into you mouth and chew. They have an earthy taste, with a strange lingering heat, like you just ate a habenero pepper. The mushrooms also see to have another lingering effect, and the room starts to swirl around you. You feel like you’re losing touch with reality and feel yourself transform into a dragon, wings, scales, fire breath and all. This is not how you expected your day to go. As you explore the room and your new dragon body, every fiery exhale seems to melt more and more of the ice. And then, as suddenly as it came on, you are back in your own body, and the ice is all melted. You aren’t entirely sure what just happened.|||true|iceLocked|iceUnlocked||
worm|A soft, slender and tube-like insect with no limbs or eyes. Yum!|false|2|false||||fishingrod||bonez|||'This is exactly what I need to catch that fish!’ shouts Bonez. You watch as he starts to put the worm on the hook of the fishing rod. He pauses, looking between the toilet and the worm and the hook. After a minute of contemplating, Bonez tosses the fishing rod at you and exclaims ‘Ah! You know, I only wanted to catch that fish so I could have a friend to keep me company. I don’t need to catch him now because you brought me a different friend, and this one is even better because he fits in my pocket! Keep the fishing rod pal, I don’t need it any more!’ You stick the fishing rod into your pocket.|true|||bonezQuest|bonezDone
labcoat|A loose-fitting white coat worn by doctors in a laboratory or medical facility.|false|1|false|||||||You put the lab coat on. You look extremely official.|||false|coatOff|coatOn||
window|A small window at the end of the hallway on floor 1. This bad boy is cracked open and you can see a key card on the ground outside!|true|1|false||||||||||false||||
magnet|A small refrigerator magnet which attracts iron and some other materials.|false|2|false|||magnetrod||fishingrod|||You stick the magnet onto the paperclip hook. It doesn’t seem like the most durable way to do things, but you don’t have any glue or tape so this will have to do. You now have a magnet rod!||true||||
fishingrod|A makeshift fishing rod, seemingly made out of part of the bed frame, a thread from someone’s clothing, and a paper clip.|false|2|false|||magnetrod||magnet|||You stick the magnet onto the paperclip hook. It doesn’t seem like the most durable way to do things, but you don’t have any glue or tape so this will have to do. You now have a magnet rod!||true||||
